name,season,mpg,gp,pts_per_40,ast_per_40,oreb_per_40,dreb_per_40,stl_per_40,blks_per_40,tov_per_40
Keegan Murray,2022,31.9,35,1030.7210031347963,65.2037617554859,125.39184952978056,254.54545454545456,56.426332288401255,85.26645768025078,48.90282131661443
Stephon Castle,2024,26.9,34,560.5947955390335,147.21189591078067,84.75836431226766,151.6728624535316,40.14869888475837,26.765799256505577,75.8364312267658
Kon Knueppel,2025,30.5,39,738.360655737705,140.327868852459,52.45901639344262,152.1311475409836,52.45901639344262,7.868852459016393,69.50819672131148
DeMarcus Cousins,2010,23.5,38,978.7234042553191,64.68085106382978,262.1276595744681,374.468085106383,62.97872340425532,114.04255319148936,132.7659574468085
Thomas Robinson,2012,31.8,39,870.4402515723269,90.56603773584905,142.13836477987422,440.251572327044,52.83018867924528,42.76729559748428,130.81761006289307
Alex Len,2013,26.4,38,684.8484848484849,56.06060606060606,165.15151515151516,286.3636363636364,12.121212121212121,118.18181818181819,90.90909090909092
Kris Dunn,2016,33.0,33,656.969696969697,249.6969696969697,43.63636363636363,169.6969696969697,99.39393939393939,24.242424242424242,140.6060606060606
De'Aaron Fox,2017,29.6,36,812.1621621621621,222.97297297297294,28.37837837837838,164.86486486486484,71.62162162162161,9.45945945945946,117.56756756756756
Trae Young,2018,35.4,32,989.8305084745764,312.99435028248587,15.819209039548024,125.42372881355932,61.01694915254238,9.03954802259887,188.70056497175142
Darius Garland,2019,27.8,5,116.54676258992806,18.70503597122302,2.8776978417266186,24.460431654676256,5.755395683453237,2.8776978417266186,21.58273381294964
Isaac Okoro,2020,31.4,28,458.5987261146497,72.61146496815287,67.51592356687898,90.44585987261146,33.12101910828026,31.847133757961785,70.06369426751593
Jalen Suggs,2021,28.9,30,593.7716262975779,188.23529411764707,24.91349480968858,196.5397923875433,78.89273356401384,13.84083044982699,121.79930795847751
Jaden Ivey,2022,31.4,36,794.904458598726,140.12738853503186,30.573248407643312,193.63057324840764,42.038216560509554,25.477707006369428,119.74522292993632
Ace Bailey,2025,33.3,30,633.0330330330331,45.645645645645644,74.47447447447448,183.7837837837838,36.03603603603604,45.645645645645644,73.27327327327328
Ekpe Udoh,2010,35.5,35,548.7323943661972,108.16901408450704,141.9718309859155,241.1267605633803,32.67605633802817,147.6056338028169,96.90140845070422
Damian Lillard,2012,35.3,30,828.328611898017,139.37677053824365,18.130311614730882,145.04249291784706,50.991501416430594,7.932011331444759,78.18696883852692
Willie Cauley-Stein,2015,25.9,39,538.996138996139,58.68725868725869,137.45173745173747,250.1930501930502,72.58687258687259,103.47490347490348,74.13127413127414
Marcus Smart,2014,32.7,31,681.3455657492353,181.03975535168192,53.822629969418955,170.03058103975533,108.86850152905198,22.018348623853207,100.3058103975535
Nerlens Noel,2013,31.9,24,314.73354231974923,47.64890282131661,81.50470219435738,203.13479623824452,62.69592476489028,132.9153605015674,56.426332288401255
Buddy Hield,2016,35.4,37,1045.1977401129943,84.74576271186442,51.9774011299435,187.57062146892656,47.45762711864407,20.338983050847457,127.68361581920905
Jonathan Isaac,2017,26.2,32,584.732824427481,56.48854961832061,85.49618320610688,297.70992366412213,56.48854961832061,74.80916030534351,73.2824427480916
Mohamed Bamba,2018,30.2,30,512.5827814569536,19.867549668874172,127.15231788079471,291.3907284768212,30.4635761589404,144.3708609271523,60.9271523178808
Jarrett Culver,2019,32.4,38,869.1358024691358,174.07407407407408,66.66666666666667,233.33333333333337,67.90123456790124,25.925925925925924,127.16049382716051
Onyeka Okongwu,2020,30.6,28,596.078431372549,39.2156862745098,120.26143790849673,196.078431372549,44.44444444444444,99.34640522875817,73.20261437908496
Bennedict Mathurin,2022,32.5,37,806.1538461538462,115.6923076923077,62.76923076923077,193.23076923076923,44.30769230769231,12.307692307692308,81.23076923076923
Anthony Black,2023,34.4,36,534.8837209302326,163.953488372093,52.32558139534884,159.30232558139534,86.046511627907,25.581395348837212,126.74418604651164
Tre Johnson,2025,34.7,33,758.5014409221901,103.74639769452449,12.680115273775215,106.05187319884726,35.73487031700288,11.527377521613833,69.16426512968299
Greg Monroe,2010,34.2,34,642.1052631578947,149.70760233918128,86.54970760233917,297.07602339181284,49.12280701754385,60.81871345029239,130.99415204678363
Harrison Barnes,2012,29.2,38,887.6712328767123,58.9041095890411,101.36986301369862,169.86301369863014,56.16438356164384,17.80821917808219,101.36986301369862
Ben McLemore,2013,32.2,37,731.6770186335402,90.68322981366458,58.38509316770186,180.12422360248448,45.96273291925465,31.05590062111801,95.65217391304347
Julius Randle,2014,30.8,40,777.922077922078,74.02597402597402,181.8181818181818,359.7402597402597,25.974025974025974,40.25974025974026,131.16883116883116
Jamal Murray,2016,35.2,36,818.1818181818181,89.77272727272727,60.22727272727273,151.13636363636363,39.77272727272727,12.5,95.45454545454545
Lauri Markkanen,2017,30.8,37,748.051948051948,41.55844155844156,114.28571428571429,231.16883116883116,19.48051948051948,24.675324675324678,51.94805194805195
Wendell Carter Jr.,2018,26.8,37,747.7611940298507,110.44776119402984,162.6865671641791,337.3134328358209,44.776119402985074,113.43283582089552,111.94029850746269
Coby White,2019,28.6,35,786.013986013986,200.0,16.783216783216783,156.64335664335664,53.14685314685314,15.384615384615383,131.46853146853147
Donovan Clingan,2024,22.5,35,808.8888888888889,94.22222222222223,154.66666666666666,304.0,32.0,152.88888888888889,49.77777777777778
Jeremiah Fears,2025,30.2,34,769.5364238410596,185.43046357615893,33.11258278145695,153.64238410596028,74.17218543046359,5.298013245033113,153.64238410596028
