name,pick,season,ftm,fta,3fgm,3fga,rim_made,rim_miss,mid_made,mid_miss,dunks_made,dunks_miss,oreb,dreb,ast,stl,blks,pts,gp,height,rec_rank,mpg,age,tov,sos,team_strength,international,NBA_impact,standard_error,NBA_minutes,NBA_seasons,NCAA_possessions_est,fga_est,ts_pct,ast_to_tov,ft_pct,three_pt_pct,rim_pct,dunk_rate,position
George King,59.0,2018,68,87,62,157,43,45,32,37,5,0,56,194,35,17,21,414,32,78,0.0,28.5,24.0,64,4.3,2.3,0,-1.8,3.1,25.0,2.0,1578,314,0.5876007721130919,0.546875,0.7816091954022989,0.39490445859872614,0.48863636363636365,0.056818181818181816,SG
Jaron Blossomgame,59.0,2017,120,168,24,94,93,48,62,100,41,3,59,148,51,27,30,584,33,79,76.8,34.3,23.3,55,6.8,8.3,0,-2.3,2.7,443.0,1.0,1918,397,0.6200628556867408,0.9272727272727272,0.7142857142857143,0.2553191489361702,0.6595744680851063,0.2907801418439716,PF
Jalen Harris,59.0,2020,135,164,67,185,67,53,67,102,22,4,22,170,118,34,4,648,30,77,0.0,33.0,21.4,72,1.9,4.6,0,-0.3,3.0,176.0,1.0,1771,474,0.5932327523070163,1.6388888888888888,0.823170731707317,0.3621621621621622,0.5583333333333333,0.18333333333333332,SG
Raiquan Gray,59.0,2021,71,93,8,30,54,33,35,46,12,1,37,123,55,30,18,297,25,80,68.4,26.3,21.6,55,4.9,10.1,0,-0.7,3.1,72.0,2.0,1146,198,0.6215469613259668,1.0,0.7634408602150538,0.26666666666666666,0.6206896551724138,0.13793103448275862,PF
Jahmai Mashack,59.0,2025,60,83,20,57,39,25,15,27,0,0,52,109,57,64,20,228,38,76,88.0,28.2,22.2,35,8.8,18.1,0,-1.0,2.7,665.0,1.0,1738,163,0.5713712910986367,1.6285714285714286,0.7228915662650602,0.3508771929824561,0.609375,0.0,SF
Robert Sacre,60.0,2012,150,197,0,2,31,25,64,83,22,2,67,141,24,12,47,384,33,84,65.2,26.3,22.6,60,3.2,11.7,0,-3.8,1.9,2747.0,4.0,1437,205,0.6582556226001097,0.4,0.7614213197969543,0.0,0.5535714285714286,0.39285714285714285,C
Isaiah Thomas,60.0,2011,151,210,60,172,84,39,43,81,1,2,26,97,213,47,2,587,35,69,57.6,31.9,22.0,104,5.3,13.6,0,-0.1,1.0,16417.0,12.0,1996,419,0.5739147438404381,2.048076923076923,0.719047619047619,0.3488372093023256,0.6829268292682927,0.008130081300813009,PG
Cory Jefferson,60.0,2014,128,198,14,37,33,26,59,117,67,12,100,193,36,13,46,488,36,81,86.8,29.3,23.1,50,7.2,10.6,0,-0.9,2.7,584.0,2.0,1677,272,0.6794386277567387,0.72,0.6464646464646465,0.3783783783783784,0.559322033898305,1.1355932203389831,PF
Tyrone Wallace,60.0,2016,100,154,25,84,64,39,56,93,6,1,27,121,123,27,12,427,28,77,81.8,32.2,21.6,74,4.7,10.4,0,-2.4,2.1,1736.0,4.0,1538,336,0.5287794729542302,1.662162162162162,0.6493506493506493,0.2976190476190476,0.6213592233009708,0.05825242718446602,SF
Sam Merrill,60.0,2020,150,168,89,217,68,48,38,51,0,1,6,125,124,28,4,629,32,77,14.4,34.9,22.2,50,2.2,10.5,0,1.2,1.6,4455.0,6.0,1897,422,0.6341748669140184,2.48,0.8928571428571429,0.41013824884792627,0.5862068965517241,0.0,SG
Kostas Antetokounmpo,60.0,2018,33,64,2,15,19,18,10,13,27,0,24,59,13,7,31,151,29,82,79.8,15.1,20.1,39,2.0,-0.2,1,-0.4,3.1,87.0,3.0,733,75,0.7318728189220628,0.3333333333333333,0.515625,0.13333333333333333,0.5135135135135135,0.7297297297297297,C
Ryan Conwell,,2026,124,149,112,325,72,50,17,29,0,0,21,141,91,38,6,638,34,75,,30.9,21.6,73,7.6,14.7,0,,,,,1857,493,0.5711114293898597,1.2465753424657535,0.8322147651006712,0.3446153846153846,0.5901639344262295,0.0,SG
Braden Smith,,2026,99,120,64,177,49,32,84,106,0,0,25,113,345,66,8,557,39,72,61.2,34.5,22.5,113,9.0,16.7,0,,,,,2185,448,0.5561102236421726,3.0530973451327434,0.825,0.3615819209039548,0.6049382716049383,0.0,PG
Richie Saunders,,2026,89,109,64,170,62,28,17,20,6,2,47,97,52,43,7,451,25,77,,31.3,24.3,41,6.6,13.0,0,,,,,1393,297,0.6536989795918368,1.2682926829268293,0.8165137614678899,0.3764705882352941,0.6888888888888889,0.06666666666666667,SG
Alex Karaban,,2026,74,87,77,206,82,55,18,33,11,0,72,139,94,33,33,527,40,80,81.2,34.2,23.2,43,7.8,16.8,0,,,,,2247,394,0.6095586194133432,2.186046511627907,0.8505747126436781,0.3737864077669903,0.5985401459854015,0.08029197080291971,SF
Henri Veesaar,,2026,72,117,40,94,64,33,46,40,58,7,68,202,64,18,37,528,31,84,85.2,31.4,21.8,52,7.0,12.0,1,,,,,1678,277,0.8037018996590355,1.2307692307692308,0.6153846153846154,0.425531914893617,0.6597938144329897,0.5979381443298969,PF
Zuby Ejiofor,,2026,186,259,18,59,104,72,43,59,35,1,123,148,131,43,79,604,37,81,89.4,30.0,21.8,78,7.2,15.0,0,,,,,1953,337,0.6696824552066702,1.6794871794871795,0.7181467181467182,0.3050847457627119,0.5909090909090909,0.19886363636363635,PF
Joshua Jefferson,,2026,149,213,38,110,92,69,48,76,16,1,66,194,167,57,29,575,35,81,,30.9,22.2,89,5.9,18.7,0,,,,,1841,395,0.5882714028482566,1.8764044943820224,0.6995305164319249,0.34545454545454546,0.5714285714285714,0.09937888198757763,SF
Milan Momcilovic,,2026,72,82,136,279,26,7,45,53,1,0,8,107,38,30,9,624,37,80,92.2,30.5,21.3,31,6.4,18.7,0,,,,,1925,410,0.6994261119081779,1.2258064516129032,0.8780487804878049,0.4874551971326165,0.7878787878787878,0.030303030303030304,SF
Dailyn Swain,,2026,161,198,32,92,110,74,39,43,25,1,59,204,125,57,11,606,35,80,82.4,32.8,20.5,93,7.4,10.2,0,,,,,1959,358,0.6807153127246585,1.3440860215053763,0.8131313131313131,0.34782608695652173,0.5978260869565217,0.1358695652173913,PF
Aday Mara,,2026,79,140,3,10,78,30,39,56,81,7,76,194,97,14,103,484,40,87,97.2,23.4,20.8,79,9.7,22.6,1,,,,,1665,213,0.8812818645302257,1.2278481012658229,0.5642857142857143,0.3,0.7222222222222222,0.75,PF
Cameron Carr,,2026,132,164,77,205,39,32,48,53,44,7,21,170,87,29,44,623,33,77,88.8,33.7,21.2,78,7.3,8.2,0,,,,,1925,377,0.6935167868910856,1.1153846153846154,0.8048780487804879,0.375609756097561,0.5492957746478874,0.6197183098591549,SG
Yaxel Lendeborg,,2026,136,165,67,180,84,41,20,33,29,1,75,196,129,45,49,603,40,81,,30.1,23.3,42,10.0,22.6,0,,,,,2133,358,0.7001857872735717,3.0714285714285716,0.8242424242424242,0.37222222222222223,0.672,0.232,SF
Pryce Sandfort,,2026,71,83,129,310,65,24,20,30,3,1,22,148,70,36,9,634,35,79,83.0,33.6,21.6,24,6.8,14.7,0,,,,,1954,449,0.6529082221123744,2.9166666666666665,0.8554216867469879,0.4161290322580645,0.7303370786516854,0.033707865168539325,SF
